№,Ник автора,Текст поста,Кол-во лайков
1,mzllf,"Коли нет дыма без огня, может быть, виноват я сам?",24567
2,Слава КПСС,"Это лето в Кайфограде никогда нам не забыть Лето в Кайфограде, это маленькая жизнь Лето в Кайфограде, это лето в Кайфограде И мы курим сигарету на двоих одну и знаем",390000
3,Лариска Долина,I'm the best,0
4,Жириновский В.В.,"Жизнь человеку дана один раз, и прожить её нужно в городе Сочи",120000
5,pupunya,love STANDOF2,15
6,Пушкин А.С.,"Подруга дней моих суровых, Голубка дряхлая моя! Одна в глуши лесов сосновых Давно, давно ты ждешь меня. Ты под окном своей светлицы",1000000
7,Кто-то великий,"В Риме был, а папы не видал.",100234
8,Стэтхем,"Если жизнь - это вызов, то я перезвоню",2141
9,Путин В.В.,Ясно.,2322
10,Медведев,С Рождеством Христовым!,2100232
11,zxc,lol,222
